date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2020-06-03,80,14,,0.14,11.2
2020-06-04,82,14,,0.14,11.48
2020-06-05,75,14,,0.14,10.5
2020-06-06,64,14,,0.14,8.96
2020-06-07,68,14,,0.14,9.52
2020-06-08,73,14,,0.14,10.22
2020-06-09,71,14,,0.14,9.94
2020-06-10,74,14,,0.14,10.36
2020-06-11,77,14,,0.14,10.78
2020-06-12,72,14,,0.14,10.08
2020-06-13,57,14,,0.14,7.98
2020-06-14,57,14,,0.14,7.98
2020-06-15,73,14,,0.14,10.22
2020-06-16,70,14,,0.14,9.8
2020-06-17,66,14,,0.14,9.24
2020-06-18,60,14,,0.14,8.4
2020-06-19,62,14,,0.14,8.68
2020-06-20,60,14,,0.14,8.4
2020-06-21,48,14,,0.14,6.72
2020-06-22,67,14,,0.14,9.38
2020-06-23,67,14,,0.14,9.38
2020-06-24,63,14,,0.14,8.82
2020-06-25,60,14,,0.14,8.4
2020-06-26,63,14,,0.14,8.82
2020-06-27,58,14,,0.14,8.12
2020-06-28,61,14,,0.14,8.54
2020-06-29,62,14,,0.14,8.68
2020-06-30,62,14,,0.14,8.68
2020-07-01,48,14,FALSE,0.14,6.72
2020-07-02,48,14,,0.14,6.72
2020-07-03,43,14,,0.14,6.02
2020-07-04,41,14,,0.14,5.74
2020-07-05,42,14,,0.14,5.88
2020-07-06,47,14,,0.14,6.58
2020-07-07,47,14,,0.14,6.58
2020-07-08,53,14,,0.14,7.42
2020-07-09,49,14,,0.14,6.86
2020-07-10,45,14,,0.14,6.3
2020-07-11,43,14,,0.14,6.02
2020-07-12,42,14,,0.14,5.88
2020-07-13,45,14,,0.14,6.3
2020-07-14,51,14,,0.14,7.14
2020-07-15,54,14,,0.14,7.56
2020-07-16,70,14,,0.14,9.8
2020-07-17,54,14,,0.14,7.56
2020-07-18,73,14,,0.14,10.22
2020-07-19,41,14,,0.14,5.74
2020-07-20,42,14,,0.14,5.88
2020-07-21,46,14,,0.14,6.44
2020-07-22,48,14,,0.14,6.72
2020-07-23,54,14,,0.14,7.56
2020-07-24,51,14,,0.14,7.14
2020-07-25,53,14,,0.14,7.42
2020-07-26,62,14,,0.14,8.68
2020-07-27,94,14,,0.14,13.16
2020-07-28,100,14,,0.14,14
2020-07-29,76,14,,0.14,10.64
2020-07-30,74,14,,0.14,10.36
2020-07-31,75,14,,0.14,10.5
2020-08-01,94,16,FALSE,0.16,15.04
2020-08-02,100,16,,0.16,16
2020-08-03,83,16,,0.16,13.28
2020-08-04,73,16,,0.16,11.68
2020-08-05,78,16,,0.16,12.48
2020-08-06,85,16,,0.16,13.6
2020-08-07,74,16,,0.16,11.84
2020-08-08,69,16,,0.16,11.04
2020-08-09,67,16,,0.16,10.72
2020-08-10,81,16,,0.16,12.96
2020-08-11,79,16,,0.16,12.64
2020-08-12,74,16,,0.16,11.84
2020-08-13,68,16,,0.16,10.88
2020-08-14,70,16,,0.16,11.2
2020-08-15,64,16,,0.16,10.24
2020-08-16,63,16,,0.16,10.08
2020-08-17,84,16,,0.16,13.44
2020-08-18,79,16,,0.16,12.64
2020-08-19,73,16,,0.16,11.68
2020-08-20,69,16,,0.16,11.04
2020-08-21,58,16,,0.16,9.28
2020-08-22,63,16,,0.16,10.08
2020-08-23,57,16,,0.16,9.12
2020-08-24,65,16,,0.16,10.4
2020-08-25,65,16,,0.16,10.4
2020-08-26,59,16,,0.16,9.44
2020-08-27,60,16,,0.16,9.6
2020-08-28,57,16,,0.16,9.12
2020-08-29,49,16,,0.16,7.84
2020-08-30,51,16,,0.16,8.16
2020-08-31,55,16,,0.16,8.8
2020-09-01,85,13,FALSE,0.13,11.05
2020-09-02,74,13,,0.13,9.62
2020-09-03,89,13,,0.13,11.57
2020-09-04,100,13,,0.13,13
2020-09-05,85,13,,0.13,11.05
2020-09-06,84,13,,0.13,10.92
2020-09-07,79,13,,0.13,10.27
2020-09-08,79,13,,0.13,10.27
2020-09-09,72,13,,0.13,9.36
2020-09-10,68,13,,0.13,8.84
2020-09-11,68,13,,0.13,8.84
2020-09-12,62,13,,0.13,8.06
2020-09-13,61,13,,0.13,7.93
2020-09-14,68,13,,0.13,8.84
2020-09-15,68,13,,0.13,8.84
2020-09-16,70,13,,0.13,9.1
2020-09-17,65,13,,0.13,8.45
2020-09-18,63,13,,0.13,8.19
2020-09-19,58,13,,0.13,7.54
2020-09-20,58,13,,0.13,7.54
2020-09-21,69,13,,0.13,8.97
2020-09-22,63,13,,0.13,8.19
2020-09-23,61,13,,0.13,7.93
2020-09-24,59,13,,0.13,7.67
2020-09-25,60,13,,0.13,7.8
2020-09-26,56,13,,0.13,7.28
2020-09-27,51,13,,0.13,6.63
2020-09-28,58,13,,0.13,7.54
2020-09-29,59,13,,0.13,7.67
2020-09-30,56,13,,0.13,7.28
2020-10-01,46,13,FALSE,0.13,5.98
2020-10-02,48,13,,0.13,6.24
2020-10-03,42,13,,0.13,5.46
2020-10-04,43,13,,0.13,5.59
2020-10-05,44,13,,0.13,5.72
2020-10-06,47,13,,0.13,6.11
2020-10-07,43,13,,0.13,5.59
2020-10-08,45,13,,0.13,5.85
2020-10-09,46,13,,0.13,5.98
2020-10-10,49,13,,0.13,6.37
2020-10-11,48,13,,0.13,6.24
2020-10-12,54,13,,0.13,7.02
2020-10-13,47,13,,0.13,6.11
2020-10-14,47,13,,0.13,6.11
2020-10-15,51,13,,0.13,6.63
2020-10-16,48,13,,0.13,6.24
2020-10-17,45,13,,0.13,5.85
2020-10-18,45,13,,0.13,5.85
2020-10-19,50,13,,0.13,6.5
2020-10-20,64,13,,0.13,8.32
2020-10-21,97,13,,0.13,12.61
2020-10-22,100,13,,0.13,13
2020-10-23,82,13,,0.13,10.66
2020-10-24,70,13,,0.13,9.1
2020-10-25,68,13,,0.13,8.84
2020-10-26,75,13,,0.13,9.75
2020-10-27,87,13,,0.13,11.31
2020-10-28,86,13,,0.13,11.18
2020-10-29,77,13,,0.13,10.01
2020-10-30,74,13,,0.13,9.62
2020-10-31,78,13,,0.13,10.14
2020-11-01,40,24,FALSE,0.24,9.6
2020-11-02,43,24,,0.24,10.32
2020-11-03,39,24,,0.24,9.36
2020-11-04,41,24,,0.24,9.84
2020-11-05,58,24,,0.24,13.92
2020-11-06,66,24,,0.24,15.84
2020-11-07,50,24,,0.24,12
2020-11-08,46,24,,0.24,11.04
2020-11-09,52,24,,0.24,12.48
2020-11-10,41,24,,0.24,9.84
2020-11-11,49,24,,0.24,11.76
2020-11-12,53,24,,0.24,12.72
2020-11-13,57,24,,0.24,13.68
2020-11-14,48,24,,0.24,11.52
2020-11-15,41,24,,0.24,9.84
2020-11-16,53,24,,0.24,12.72
2020-11-17,74,24,,0.24,17.76
2020-11-18,90,24,,0.24,21.6
2020-11-19,71,24,,0.24,17.04
2020-11-20,76,24,,0.24,18.24
2020-11-21,72,24,,0.24,17.28
2020-11-22,65,24,,0.24,15.6
2020-11-23,67,24,,0.24,16.08
2020-11-24,95,24,,0.24,22.8
2020-11-25,90,24,,0.24,21.6
2020-11-26,100,24,,0.24,24
2020-11-27,68,24,,0.24,16.32
